description,slide_number,image_file,set,valence_mean,valence_sd,arousal_mean,arousal_sd,category
Attack,6560,6560.jpg,5,2.16,1.41,6.53,2.42,negative
Attack,6561,6561.jpg,10,3.16,1.46,4.99,2.19,negative
Attack,6562,6562.jpg,16,3.19,1.34,5.08,2.39,negative
Attack,6563,6563.jpg,20,1.77,1.23,6.85,2.18,negative
CarTheft,6571,6571.jpg,9,2.85,2.05,5.59,2.5,negative
Gun,6610,6610.jpg,1,3.6,1.79,5.06,2.39,negative
Gang,6821,6821.jpg,10,2.38,1.72,6.29,2.02,negative
Military,6825,6825.jpg,15,2.81,1.19,5.36,2.19,negative
Police,6836,6836.jpg,11,3.46,1.61,5.47,1.91,negative
Police,6840,6840.jpg,12,3.63,2.04,5.95,1.9,negative
CarDamage,7135,7135.jpg,19,3.17,1.57,5.36,2.14,negative
CarBoot,7136,7136.jpg,20,3.47,1.7,5.01,2.17,negative
PieW/bug,7359,7359.jpg,14,2.92,1.7,5.36,2.19,negative
FliesOnPie,7360,7360.jpg,4,3.59,1.95,5.11,2.25,negative
MeatSlicer,7361,7361.jpg,8,3.1,1.73,5.09,2.48,negative
RoachOnPizza,7380,7380.jpg,6,2.46,1.42,5.88,2.44,negative
Fire,8485,8485.jpg,14,2.73,1.62,6.46,2.1,negative
Cemetery,9000,9000.jpg,2,2.55,1.55,4.06,2.25,negative
Cemetery,9001,9001.jpg,5,3.1,2.02,3.67,2.3,negative
Memorial,9002,9002.jpg,17,3.39,1.84,4.55,1.94,negative
Needles,9007,9007.jpg,8,2.49,1.41,5.03,2.32,negative
Needle,9008,9008.jpg,7,3.47,1.85,4.45,2.1,negative
Mud,9031,9031.jpg,17,3.01,1.59,4.82,1.92,negative
StarvingChild,9040,9040.jpg,2,1.67,1.07,5.82,2.15,negative
ScaredChild,9041,9041.jpg,9,2.98,1.58,4.64,2.26,negative
StickThruLip,9042,9042.jpg,10,3.15,1.89,5.78,2.48,negative
Teeth,9043,9043.jpg,18,2.52,1.42,5.5,2.41,negative
StarvingChild,9075,9075.jpg,18,1.66,1.1,6.04,2.4,negative
Exhaust,9090,9090.jpg,2,3.56,1.5,3.97,2.12,negative
Exhaust,9090,9090.jpg,3,3.69,1.92,4.8,2.23,negative
Cocaine,9101,9101.jpg,9,3.62,1.96,4.02,2.33,negative
Heroin,9102,9102.jpg,9,3.34,1.76,4.84,2.5,negative
OilFires,9120,9120.jpg,6,3.2,1.75,5.77,1.94,negative
Cow,9140,9140.jpg,2,2.19,1.37,5.38,2.19,negative
Cow,9145,9145.jpg,18,3.2,1.39,5.05,2.26,negative
Soldier,9160,9160.jpg,2,3.23,1.64,5.87,1.93,negative
Soldiers,9163,9163.jpg,19,2.1,1.36,6.53,2.21,negative
DeadCows,9181,9181.jpg,8,2.26,1.85,5.39,2.41,negative
Horses,9182,9182.jpg,7,3.52,2.04,4.98,2.07,negative
HurtDog,9183,9183.jpg,17,1.69,1.1,6.58,2.12,negative
InjuredDog,9184,9184.jpg,18,2.47,1.52,5.75,2.43,negative
DeadDog,9185,9185.jpg,19,1.97,1.16,5.65,2.35,negative
Vultures,9186,9186.jpg,17,3.43,1.54,4.88,1.87,negative
InjuredDog,9187,9187.jpg,20,1.81,1.36,6.45,2.3,negative
Cemetery,9220,9220.jpg,6,2.06,1.54,4,2.09,negative
WarVictim,9250,9250.jpg,3,2.57,1.39,6.6,1.87,negative
Assault,9254,9254.jpg,15,2.03,1.35,6.04,2.35,negative
ToxicWaste,9270,9270.jpg,3,3.72,1.51,5.24,2.15,negative
Smoke,9280,9280.jpg,9,2.8,1.54,4.26,2.44,negative
Garbage,9290,9290.jpg,4,2.88,1.52,4.4,2.11,negative
Garbage,9291,9291.jpg,18,2.93,1.19,4.38,2.05,negative
Garbage,9295,9295.jpg,17,2.39,1.3,5.11,2.05,negative
Dirty,9300,9300.jpg,4,2.26,1.76,6,2.41,negative
Toilet,9301,9301.jpg,14,2.26,1.56,5.28,2.46,negative
Toilet,9302,9302.jpg,18,2.32,1.41,5.58,2.43,negative
Vomit,9320,9320.jpg,5,2.65,1.92,4.93,2.7,negative
Vomit,9321,9321.jpg,19,2.81,2.14,6.24,2.23,negative
Vomit,9322,9322.jpg,20,2.24,1.24,5.73,2.28,negative
Vomit,9325,9325.jpg,17,1.89,1.23,6.01,2.54,negative
Vomit,9326,9326.jpg,18,2.21,1.3,5.89,2.35,negative
Garbage,9330,9330.jpg,5,2.89,1.74,4.35,2.07,negative
HomelessMan,9331,9331.jpg,10,2.87,1.28,3.85,2,negative
CryingWoman,9332,9332.jpg,20,2.25,1.33,5.34,2,negative
Garbage,9340,9340.jpg,6,2.41,1.48,5.16,2.35,negative
Pollution,9341,9341.jpg,13,3.38,1.89,4.5,2.1,negative
Pollution,9342,9342.jpg,14,2.85,1.41,4.49,1.88,negative
Garbage,9373,9373.jpg,7,3.38,1.48,5.01,2.16,negative
Dishes,9390,9390.jpg,5,3.67,1.58,4.14,2.52,negative
Dishes,9395,9395.jpg,17,3.21,1.32,4.22,2.04,negative
Soldier,9400,9400.jpg,4,2.5,1.61,5.99,2.15,negative
Soldiers,9403,9403.jpg,17,3.51,1.69,5.62,1.87,negative
Soldiers,9404,9404.jpg,8,3.71,1.67,4.67,2.26,negative
MenW/guns,9409,9409.jpg,14,3.34,1.76,5.61,2.15,negative
Soldier,9410,9410.jpg,4,1.51,1.15,7.07,2.06,negative
DeadMan,9412,9412.jpg,19,1.83,1.37,6.72,2.07,negative
Hanging,9413,9413.jpg,19,1.76,1.08,6.81,2.09,negative
Execution,9414,9414.jpg,17,2.06,1.48,6.49,2.26,negative
Handicapped,9415,9415.jpg,8,2.82,2,4.91,2.35,negative
Ticket,9417,9417.jpg,10,3.16,1.48,4.83,2.24,negative
Assault,9419,9419.jpg,16,2.55,1.33,5.19,2.08,negative
Soldier,9421,9421.jpg,6,2.21,1.45,5.04,2.15,negative
Assault,9423,9423.jpg,16,2.61,1.51,5.66,2.15,negative
Bomb,9424,9424.jpg,16,2.87,1.62,5.78,2.12,negative
Assault,9425,9425.jpg,15,2.67,1.44,5.92,2.13,negative
Assault,9427,9427.jpg,15,2.89,1.47,5.5,2.09,negative
Assault,9428,9428.jpg,15,2.31,1.31,5.66,2.41,negative
Accident,9435,9435.jpg,13,2.27,1.47,5,2.03,negative
Skulls,9440,9440.jpg,4,3.67,1.86,4.55,2.02,negative
BurntBldg,9471,9471.jpg,14,3.16,1.35,4.48,2.02,negative
Corpse,9490,9490.jpg,5,3.6,1.72,5.57,2.13,negative
DeadBody,9491,9491.jpg,20,2.78,1.71,5.69,2.22,negative
Fire,9495,9495.jpg,14,3.34,1.75,5.57,2,negative
Kids,9520,9520.jpg,6,2.46,1.61,5.41,2.27,negative
Boys,9530,9530.jpg,5,2.93,1.84,5.2,2.26,negative
DuckInOil,9560,9560.jpg,5,2.12,1.93,5.5,2.52,negative
SickKitty,9561,9561.jpg,10,2.68,1.92,4.79,2.29,negative
Dog,9570,9570.jpg,6,1.68,1.23,6.14,2.31,negative
Cat,9571,9571.jpg,7,1.96,1.5,5.64,2.5,negative
DentalExam,9584,9584.jpg,11,3.34,1.57,4.96,2.15,negative
Injecting,9590,9590.jpg,17,3.08,1.63,5.41,2.23,negative
Injection,9592,9592.jpg,12,3.34,1.75,5.23,2.09,negative
Injection,9596,9596.jpg,18,3.65,1.68,5.13,2.32,negative
Injection,9599,9599.jpg,20,3.16,1.51,5.43,2.04,negative
Ship,9600,9600.jpg,5,2.48,1.62,6.46,2.31,negative
Accident,9610,9610.jpg,18,2.89,1.43,5.23,2.14,negative
Ship,9621,9621.jpg,7,3.22,1.76,5.76,2.05,negative
Jet,9622,9622.jpg,7,3.1,1.9,6.26,1.98,negative
Fire,9623,9623.jpg,17,3.04,1.51,6.05,1.88,negative
Fire,9635.1,9635.1.jpg,14,1.9,1.31,6.54,2.27,negative
Cigarettes,9830,9830.jpg,6,2.54,1.75,4.86,2.63,negative
Cigarette,9831,9831.jpg,18,2.95,1.72,4.61,2.34,negative
Cigarettes,9832,9832.jpg,19,2.94,1.58,4.46,2.06,negative
CarAccident,9900,9900.jpg,15,2.46,1.39,5.58,2.13,negative
CarAccident,9901,9901.jpg,15,2.27,1.25,5.7,2.22,negative
CarAccident,9902,9902.jpg,16,2.33,1.38,6,2.15,negative
CarAccident,9904,9904.jpg,19,2.39,1.36,6.08,2.06,negative
CarAccident,9905,9905.jpg,20,2.55,1.42,5.93,2.1,negative
CarAccident,9908,9908.jpg,20,2.34,1.49,6.63,2.13,negative
BurningCar,9909,9909.jpg,18,2.78,1.45,5.98,2.04,negative
CarAccident,9910,9910.jpg,5,2.06,1.26,6.2,2.16,negative
CarAccident,9911,9911.jpg,7,2.3,1.37,5.76,2.1,negative
CarCrash,9912,9912.jpg,8,3.46,1.76,4.68,2.31,negative
CarCrash,9920,9920.jpg,6,2.5,1.52,5.76,1.96,negative
Fire,9921,9921.jpg,7,2.04,1.47,6.52,1.94,negative
Fire,9922,9922.jpg,20,2.78,1.32,5.21,2.03,negative
Fire,9925,9925.jpg,16,2.84,1.35,5.59,2.23,negative
Flood,9927,9927.jpg,20,2.71,1.56,5.29,1.91,negative
ShipWave,9930,9930.jpg,17,3.12,1.53,5.71,1.88,negative
Explosion,9940,9940.jpg,20,1.62,1.2,7.15,2.24,negative
Fire,9941,9941.jpg,18,2.91,1.54,5.83,2.14,negative
Violin,7900,7900.jpg,4,6.5,1.72,2.6,2.08,neutral
Woman,2025,2025.jpg,14,5.78,1.26,4.3,2.16,neutral
Couple,2501,2501.jpg,6,6.89,1.78,3.09,2.21,neutral
Dance,2605,2605.jpg,16,6.26,1.45,5.03,2.16,neutral
Reading,2377,2377.jpg,19,5.19,1.31,3.5,1.95,neutral
Hiker,8158,8158.jpg,20,6.53,1.66,6.49,2.05,neutral
Couple,4612,4612.jpg,17,6.82,1.67,5.06,1.98,neutral
Waterskiing,8205,8205.jpg,15,6.62,1.42,4.17,1.93,neutral
Coyote,1640,1640.jpg,2,6.16,1.88,5.18,1.93,neutral
Luggage,7081,7081.jpg,17,5.36,1.3,3.96,2.24,neutral
Cheeseburger,7450,7450.jpg,5,6.4,2.01,5.05,2.22,neutral
ManW/Dog,2521,2521.jpg,20,5.78,1.52,4.1,1.85,neutral
CardDealer,7503,7503.jpg,10,5.77,1.39,4.21,2.39,neutral
AttractiveMan,4510,4510.jpg,1,5.51,2.5,3.89,2.86,neutral
Hawk,1560,1560.jpg,1,5.97,2.32,5.51,2.19,neutral
Coyote,1640,1640.jpg,1,6.27,2.22,5.13,2.2,neutral
Men,2593,2593.jpg,16,5.8,1.34,3.42,1.84,neutral
Cow,1670,1670.jpg,1,6.81,1.76,3.05,1.91,neutral
Paintbrush,7509,7509.jpg,19,6.03,1.35,3.43,2.02,neutral
Romantic,4597,4597.jpg,20,6.95,1.65,5.91,1.86,neutral
Wingwalker,8341,8341.jpg,13,6.25,1.86,6.4,2.27,neutral
Makeup,2032,2032.jpg,20,5.58,1.24,4,2.12,neutral
Bed,7710,7710.jpg,4,5.42,1.58,3.44,2.21,neutral
Runners,8467,8467.jpg,16,6.35,1.44,5.12,2.36,neutral
Romance,4600,4600.jpg,17,6.41,1.75,4.83,2.1,neutral
Spoon,7004,7004.jpg,9,5.04,0.6,2,1.66,neutral
Man,2500,2500.jpg,2,6.16,1.54,3.61,1.91,neutral
Crocodile,1820,1820.jpg,19,5.35,2.05,5.67,2.09,neutral
Shark,5622,5622.jpg,8,6.33,1.78,5.34,1.96,neutral
Crowd,7515,7515.jpg,20,6.19,1.33,5.48,1.98,neutral
Alcohol,7279,7279.jpg,17,6.22,1.92,5.19,2.09,neutral
City,2594,2594.jpg,15,6.05,1.31,3.84,1.98,neutral
BathRoom,7165,7165.jpg,19,6.09,1.54,3.5,2.22,neutral
CarRacer,8320,8320.jpg,6,6.24,1.78,4.27,2.21,neutral
Violinist,5410,5410.jpg,10,6.11,1.58,3.29,2.09,neutral
Owl,1740,1740.jpg,3,6.91,1.38,4.27,2.03,neutral
Garlic,7354,7354.jpg,19,5.51,1.67,3.73,2.19,neutral
Tool,7056,7056.jpg,15,5.07,1.02,3.07,1.92,neutral
Woman,2036,2036.jpg,18,5.8,1.28,3.24,1.88,neutral
Building,7242,7242.jpg,16,5.28,1.45,3.83,2.06,neutral
TongueOut,2122,2122.jpg,19,5.15,1.82,4.59,1.91,neutral
Scissors,7014,7014.jpg,18,5.15,0.97,3.25,2.03,neutral
Male,2630,2630.jpg,4,6.35,1.92,3.92,2.53,neutral
Picnic,2560,2560.jpg,10,6.34,1.53,3.49,2.07,neutral
Mushroom,5520,5520.jpg,1,5.33,1.49,2.95,2.42,neutral
Man,2211,2211.jpg,17,5.19,1.69,4.05,2.07,neutral
Pony,1595,1595.jpg,19,6.22,1.64,4.79,2.09,neutral
Field,5764,5764.jpg,16,6.74,1.64,3.55,2.32,neutral
EroticMale,4531,4531.jpg,8,5.81,1.94,4.28,2.76,neutral
Bridge,7547,7547.jpg,16,5.21,0.96,3.18,2.01,neutral
Bridge,7546,7546.jpg,15,5.4,1.13,3.72,2.16,neutral
Cockpit,5455,5455.jpg,11,5.79,1.37,4.56,2.17,neutral
Candy,7410,7410.jpg,5,6.91,1.56,4.55,2.24,neutral
BeachBoys,4542,4542.jpg,16,6.33,1.92,5.08,2.41,neutral
Mushroom,5530,5530.jpg,1,5.38,1.6,2.87,2.29,neutral
Class,2217,2217.jpg,17,6.24,1.52,4.08,1.85,neutral
Pig,1350,1350.jpg,20,5.25,1.96,4.37,1.76,neutral
Gold,8500,8500.jpg,3,6.96,1.64,5.6,2.4,neutral
RockClimber,8160,8160.jpg,3,5.07,1.97,6.97,1.62,neutral
Butterfly,1602,1602.jpg,8,6.5,1.64,3.43,1.96,neutral
NeutBaby,2250,2250.jpg,1,6.64,2.26,4.19,2.28,neutral
AttractiveMale,4573,4573.jpg,17,5.49,1.6,3.96,1.94,neutral
Feet,2445,2445.jpg,16,5.39,1.39,3.83,1.91,neutral
Buffalo,1675,1675.jpg,15,5.24,1.48,4.37,2.15,neutral
Dice,7058,7058.jpg,15,5.29,1.38,3.98,2.17,neutral
Pizza,7351,7351.jpg,5,5.82,1.67,4.25,2.28,neutral
CryingBoy,2900.2,2900.2.jpg,12,6.62,1.97,4.52,1.92,neutral
Nature,5250,5250.jpg,4,6.08,2.01,3.64,2.27,neutral
ManW/Fish,2392,2392.jpg,19,6.15,1.49,3.85,1.97,neutral
Father,2339,2339.jpg,15,6.72,1.34,4.16,1.9,neutral
Girl,2411,2411.jpg,18,5.07,0.85,2.86,1.84,neutral
Bird,1616,1616.jpg,11,5.21,1.12,3.95,1.95,neutral
Sailboat,8211,8211.jpg,13,5.76,1.89,5.36,2.35,neutral
Diving,2056,2056.jpg,18,6.34,1.3,4.63,1.9,neutral
Mushroom,5500,5500.jpg,1,5.42,1.58,3,2.42,neutral
Store,7495,7495.jpg,12,5.9,1.6,3.82,2.33,neutral
Chicken,7488,7488.jpg,16,6.19,1.98,4.96,2.36,neutral
Sushi,7477,7477.jpg,18,6.12,2.03,4.82,2.32,neutral
Scarves,7205,7205.jpg,10,5.56,1.39,2.93,2.16,neutral
Baby,2060,2060.jpg,18,6.49,1.59,3.8,2.02,neutral
Fabric,7160,7160.jpg,9,5.02,1.1,3.07,2.07,neutral
NeutChild,2240,2240.jpg,10,6.53,1.48,3.75,2.14,neutral
Flowers,5849,5849.jpg,12,6.65,1.93,4.89,2.43,neutral
Outlet,6150,6150.jpg,3,5.08,1.17,3.22,2.02,neutral
Adult,2020,2020.jpg,1,5.68,1.99,3.34,1.89,neutral
Galaxy,5301,5301.jpg,20,6.54,1.68,5.21,2.42,neutral
Harvest,2515,2515.jpg,11,6.09,1.54,3.8,2.12,neutral
Jellyfish,1908,1908.jpg,17,5.28,1.53,4.88,2.15,neutral
Gym,7240,7240.jpg,20,6.02,1.93,5.51,2.12,neutral
RollingPin,7000,7000.jpg,2,5,0.84,2.42,1.79,neutral
EroticMale,4520,4520.jpg,3,6.16,1.54,4.8,2.25,neutral
MaleDancer,4534,4534.jpg,7,5.7,1.68,4.16,2.37,neutral
Shopping,2745.1,2745.1.jpg,14,5.31,1.08,3.26,1.96,neutral
Octopus,1947,1947.jpg,13,5.85,1.77,4.35,2.37,neutral
Shrimp,1903,1903.jpg,17,5.5,1.68,4.25,1.95,neutral
FrenchFries,7461,7461.jpg,20,5.8,2.28,5.2,2.27,neutral
Checkerboard,7182,7182.jpg,9,5.16,1.31,4.02,2.12,neutral
Office,7550,7550.jpg,3,5.27,1.4,3.95,1.91,neutral
AttractiveMale,4575,4575.jpg,18,6.49,1.96,4.82,2.43,neutral
Crowd,7660,7660.jpg,19,6.61,1.7,5.59,2.23,neutral
Mother/Child,2359,2359.jpg,17,5.87,1.41,3.94,1.73,neutral
Teenager,2870,2870.jpg,9,5.31,1.41,3.01,1.72,neutral
Puzzle,7061,7061.jpg,17,5.4,1.4,3.66,1.92,neutral
AbstractArt,7188,7188.jpg,16,5.5,1.12,4.28,2.16,neutral
Beads,7207,7207.jpg,8,5.15,1.46,3.57,2.25,neutral
Harbor,5215,5215.jpg,20,6.83,1.7,5.4,2.15,neutral
Coffeecup,7057,7057.jpg,16,5.35,1.37,3.39,2.01,neutral
Jet,7620,7620.jpg,3,5.78,1.72,4.92,2.11,neutral
Runner,8460,8460.jpg,5,6.4,1.58,4.55,2.57,neutral
Leaves,5800,5800.jpg,6,6.36,1.7,2.51,2.01,neutral
Plane,8340,8340.jpg,6,6.85,1.69,5.8,2.36,neutral
Kickboxing,8065,8065.jpg,20,5.25,1.78,5.71,2.09,neutral
Couple,4625,4625.jpg,14,6.4,1.71,5.05,2.02,neutral
HangGlider,5626,5626.jpg,8,6.71,2.06,6.1,2.19,neutral
Meat,7365,7365.jpg,18,5.2,1.57,4.13,1.93,neutral
Bakers,2579,2579.jpg,14,5.53,1.35,3.85,2,neutral
AttractiveMan,4574,4574.jpg,16,6.62,1.62,4.25,2.29,neutral
Amerindian,2484,2484.jpg,18,5,1.35,3.75,1.9,neutral
Desert,5900,5900.jpg,3,5.93,1.64,4.38,2.1,neutral
OldLady,2511,2511.jpg,19,6.21,1.62,3.41,1.96,neutral
Condom,4613,4613.jpg,10,5.34,1.77,4.66,2.2,neutral
Pregnant,2155,2155.jpg,20,6.78,1.97,5.43,2.09,neutral
Children,2342,2342.jpg,17,6.2,1.55,4.06,2.02,neutral
Woman,2514,2514.jpg,11,5.19,1.09,3.5,1.81,neutral
FoodBasket,2980,2980.jpg,13,5.61,1.5,3.09,1.91,neutral
House,7530,7530.jpg,19,6.71,1.36,4,2.14,neutral
Train,7033,7033.jpg,19,5.4,1.57,3.99,2.14,neutral
WinterStreet,5635,5635.jpg,15,6.25,1.56,3.97,2.03,neutral
Farmland,5720,5720.jpg,5,6.31,1.6,2.79,2.2,neutral
Mascot,8600,8600.jpg,6,6.38,1.61,4.26,2.24,neutral
EroticFemale,4617,4617.jpg,11,6.6,1.57,5.19,2.1,neutral
Woman,2305,2305.jpg,16,5.41,1.12,3.63,2.04,neutral
AttractiveFem,4275,4275.jpg,9,5.7,2.01,4.41,2.45,neutral
Gorilla,1660,1660.jpg,1,6.49,1.89,4.57,2.39,neutral
AttractiveMale,4505,4505.jpg,20,6.21,1.89,5.52,2.26,neutral
NeutChild,2270,2270.jpg,9,6.28,1.62,3.15,2.03,neutral
Male,2107,2107.jpg,20,5.53,1.05,3.72,2.12,neutral
Airplane,7632,7632.jpg,18,5.22,1.69,4.78,2.36,neutral
Lamb,7482,7482.jpg,15,6.36,1.77,4.81,2.24,neutral
Earth,5890,5890.jpg,3,6.67,1.75,4.6,2.3,neutral
Desserts,7320,7320.jpg,3,6.54,1.63,4.44,2.12,neutral
AttractiveFem,4325,4325.jpg,17,5.96,1.65,5.18,2.19,neutral
Woman,8620,8620.jpg,14,6.04,1.43,4.6,2.08,neutral
Hippo,1810,1810.jpg,5,6.52,1.49,4.45,2.11,neutral
Food,7281,7281.jpg,8,6.4,1.52,4.41,2.26,neutral
Motorcycle,8251,8251.jpg,14,6.16,1.68,6.05,2.12,neutral
Flower,5030,5030.jpg,1,6.51,1.73,2.74,2.13,neutral
Fisherman,2384,2384.jpg,20,5.92,1.47,3.41,2.04,neutral
Diver,8040,8040.jpg,4,6.64,1.56,5.61,2.01,neutral
Skier,8031,8031.jpg,8,6.76,1.39,5.58,2.24,neutral
